player,year,team
SP Goswami,2011,Kolkata Knight Riders
Shakib Al Hasan,2011,Kolkata Knight Riders
EJG Morgan,2011,Kolkata Knight Riders
RN ten Doeschate,2011,Kolkata Knight Riders
Iqbal Abdulla,2011,Kolkata Knight Riders
JH Kallis,2011,Kolkata Knight Riders
L Balaji,2011,Kolkata Knight Riders
BJ Haddin,2011,Kolkata Knight Riders
LR Shukla,2011,Kolkata Knight Riders
B Lee,2011,Kolkata Knight Riders
YK Pathan,2011,Kolkata Knight Riders
S Ladda,2011,Kolkata Knight Riders
G Gambhir,2011,Kolkata Knight Riders
JD Unadkat,2011,Kolkata Knight Riders
MV Boucher,2011,Kolkata Knight Riders
CA Ingram,2011,Delhi Daredevils
JR Hopes,2011,Delhi Daredevils
Y Nagar,2011,Delhi Daredevils
DA Warner,2011,Delhi Daredevils
S Sriram,2011,Delhi Daredevils
AM Salvi,2011,Delhi Daredevils
S Nadeem,2011,Delhi Daredevils
IK Pathan,2011,Delhi Daredevils
RE van der Merwe,2011,Delhi Daredevils
AB Agarkar,2011,Delhi Daredevils
